p1,Broome,Exmouth_Gulf,Gulf_of_Carpentaria,Heywood_Shoal,New_Caledonia,Pilbara,Scott_Reef,Shark_Bay,Townsville
Ashmore,0.030739862052452768,0.03663827413637671,0.09727418271798106,0.025509505462066578,0.20272130072141428,0.04024503697648157,0.0580462844760864,0.055371329475618014,0.09706528811305656
Broome,,-8.83374193217543e-4,0.07773025935410449,0.0033886085570379683,0.19213928431478544,0.001872036719845315,0.0025224236038248107,0.010386708132363866,0.08139658746370333
Exmouth_Gulf,,,0.08250814213087125,0.009916255499339327,0.21070670232777194,7.127901962846046e-4,0.009017067354950668,0.010002340060908997,0.08671650116086203
Gulf_of_Carpentaria,,,,0.07164033437652345,0.1683766738296754,0.08240081253075017,0.10049735731778907,0.09913042781404692,0.01880579444913914
Heywood_Shoal,,,,,0.26687101146910897,0.01015914371094591,0.043643779741672335,0.028750198631004188,0.10273938157213298
New_Caledonia,,,,,,0.1996937371461551,0.33184868098126996,0.23057111976304898,0.1729300294696768
Pilbara,,,,,,,0.010902444076328824,0.008332405525355325,0.08832847768643869
Scott_Reef,,,,,,,,0.02637126929304484,0.1511607513335699
Shark_Bay,,,,,,,,,0.10904143460147393
